Time, Microgrid1.Inverter.Pref, Microgrid1.Inverter.P1, Microgrid1.ESS.Lead acid.SOC
11.0, 3000.0, 2999.1708984375, 0.5642274022102356
11.25, 3000.0, 2999.140869140625, 0.5642319321632385
11.5, 3000.0, 2998.305908203125, 0.5642361640930176
11.75, 3000.0, 2998.971923828125, 0.5642404556274414
12.0, 3000.0, 2999.576171875, 0.5642448663711548
12.25, 3000.0, 3000.32568359375, 0.5642492771148682
12.5, 3000.0, 3000.5947265625, 0.5642535090446472
12.75, 3000.0, 3000.40625, 0.5642579793930054
13.0, 3000.0, 2999.62451171875, 0.5642622113227844
13.25, 3000.0, 2999.36474609375, 0.5642666816711426
13.5, 10000.0, 8158.06201171875, 0.5642693042755127
13.75, 10000.0, 9604.6630859375, 0.5642629861831665
14.0, 10000.0, 9891.9951171875, 0.5642479658126831
14.25, 10000.0, 9961.560546875, 0.5642286539077759
14.5, 10000.0, 9979.296875, 0.5642076730728149
14.75, 10000.0, 9994.984375, 0.5641862750053406
15.0, 10000.0, 9997.2353515625, 0.5641641020774841
15.25, 10000.0, 9999.212890625, 0.5641420483589172
15.5, 10000.0, 9998.666015625, 0.5641199350357056
15.75, 10000.0, 10000.107421875, 0.5640976428985596
16.0, 10000.0, 10000.3203125, 0.5640755295753479
16.25, 10000.0, 10002.9912109375, 0.5640532970428467
16.5, 10000.0, 9998.2412109375, 0.564031183719635
16.75, 10000.0, 10001.345703125, 0.5640091300010681
17.0, 10000.0, 10002.1982421875, 0.5639868378639221
17.25, 10000.0, 9997.916015625, 0.5639649033546448
17.5, 10000.0, 10000.296875, 0.5639426112174988
17.75, 10000.0, 10003.1162109375, 0.5639206767082214
18.0, 10000.0, 9999.01171875, 0.5638986229896545
18.25, 5000.0, 6127.119140625, 0.563881516456604
18.5, 5000.0, 5202.29248046875, 0.5638763904571533
18.75, 5000.0, 5036.72021484375, 0.563875138759613
19.0, 5000.0, 5002.36767578125, 0.5638747811317444
19.25, 5000.0, 5002.638671875, 0.5638745427131653
19.5, 5000.0, 4999.44189453125, 0.5638742446899414
19.75, 5000.0, 5003.55859375, 0.5638737678527832
20.0, 5000.0, 4998.3203125, 0.5638732314109802
20.25, 5000.0, 4996.1513671875, 0.563872754573822
20.5, 5000.0, 4998.91943359375, 0.563872218132019
20.75, 5000.0, 4999.20458984375, 0.5638717412948608
21.0, 5000.0, 5001.00244140625, 0.5638712048530579
21.25, 5000.0, 5001.52392578125, 0.5638706684112549
21.5, 5000.0, 5000.505859375, 0.5638701319694519
21.75, 5000.0, 4999.69482421875, 0.5638695955276489
22.0, 5000.0, 4999.5712890625, 0.563869059085846
22.25, 5000.0, 4999.77978515625, 0.5638685822486877
22.5, 5000.0, 4999.6865234375, 0.5638680458068848
22.75, 5000.0, 5001.88427734375, 0.5638675093650818
23.0, 4000.0, 4362.24560546875, 0.5638671517372131
23.25, 4000.0, 4108.40283203125, 0.5638675689697266
23.5, 4000.0, 4033.40771484375, 0.563868522644043
23.75, 4000.0, 4010.989501953125, 0.5638696551322937
24.0, 4000.0, 4004.486083984375, 0.5638708472251892
24.25, 4000.0, 4000.788330078125, 0.5638720989227295
24.5, 4000.0, 3997.333740234375, 0.5638734102249146
24.75, 4000.0, 3997.693359375, 0.5638747215270996
25.0, 4000.0, 3999.53466796875, 0.5638760924339294
25.25, 4000.0, 3999.2392578125, 0.5638773441314697
25.5, 4000.0, 4000.24609375, 0.5638786554336548
25.75, 4000.0, 4000.804443359375, 0.5638799667358398
26.0, 4000.0, 3998.8876953125, 0.5638812780380249
26.25, 4000.0, 3999.34326171875, 0.56388258934021
26.5, 4000.0, 4000.589599609375, 0.563883900642395
26.75, 4000.0, 3999.91943359375, 0.5638852119445801
27.0, 4000.0, 3999.65283203125, 0.5638865232467651
27.25, 4000.0, 4000.46044921875, 0.5638877749443054
27.5, 4000.0, 4000.349609375, 0.5638890266418457
27.75, 3200.0, 3348.046142578125, 0.5638906359672546
28.0, 3200.0, 3178.711669921875, 0.5638934969902039
28.25, 3200.0, 3173.012939453125, 0.5638970732688904
28.5, 3200.0, 3181.987060546875, 0.5639008283615112
28.75, 3200.0, 3189.3349609375, 0.5639048218727112
29.0, 3200.0, 3195.194091796875, 0.5639088153839111
