Time, Microgrid1.Inverter.Pref, Microgrid1.Inverter.P1, Microgrid1.ESS.Lead acid.SOC, Microgrid1.PV.P
64.75, 10000.0, 9998.669921875, 0.5640709400177002, 4146.0849609375
65.0, 10000.0, 10003.4560546875, 0.5640498995780945, 4146.0849609375
65.25, 10000.0, 9998.0849609375, 0.5640282034873962, 4146.0849609375
65.5, 5000.0, 8152.72216796875, 0.5640073418617249, 4146.0849609375
65.75, 5000.0, 5572.86083984375, 0.5639956593513489, 4146.0849609375
66.0, 5000.0, 5117.5146484375, 0.5639929175376892, 4146.0849609375
66.25, 5000.0, 5018.59765625, 0.5639920830726624, 4146.0849609375
66.5, 5000.0, 4999.63232421875, 0.5639917850494385, 4146.0849609375
66.75, 5000.0, 5003.2099609375, 0.5639915466308594, 4146.0849609375
67.0, 5000.0, 5002.50732421875, 0.563991129398346, 4146.0849609375
67.25, 5000.0, 5000.81982421875, 0.5639906525611877, 4146.0849609375
67.5, 5000.0, 4998.9619140625, 0.5639901161193848, 4146.0849609375
67.75, 5000.0, 4998.05224609375, 0.5639896392822266, 4146.0849609375
68.0, 5000.0, 4999.46337890625, 0.5639891028404236, 4146.0849609375
68.25, 5000.0, 5002.0224609375, 0.5639885663986206, 4146.0849609375
68.5, 5000.0, 4999.74462890625, 0.5639880299568176, 4146.0849609375
68.75, 5000.0, 4996.6142578125, 0.5639875531196594, 4146.0849609375
69.0, 5000.0, 5002.15771484375, 0.5639870166778564, 4146.0849609375
69.25, 5000.0, 5000.5029296875, 0.5639864802360535, 4146.0849609375
69.5, 5000.0, 4998.52197265625, 0.5639859437942505, 4146.0849609375
69.75, 5000.0, 5000.4208984375, 0.5639854073524475, 4146.0849609375
70.0, 5000.0, 5001.89404296875, 0.5639848709106445, 4146.0849609375
70.25, 4000.0, 4728.94921875, 0.5639843344688416, 4146.0849609375
70.5, 4000.0, 4214.623046875, 0.5639843344688416, 4146.0849609375
70.75, 4000.0, 4064.999267578125, 0.5639850497245789, 4146.0849609375
71.0, 4000.0, 4022.1298828125, 0.56398606300354, 4146.0849609375
71.25, 4000.0, 4006.720947265625, 0.5639873147010803, 4146.0849609375
71.5, 4000.0, 3999.41796875, 0.5639885663986206, 4146.0849609375
71.75, 4000.0, 3999.69091796875, 0.5639898777008057, 4146.0849609375
72.0, 4000.0, 3998.469970703125, 0.5639911890029907, 4146.0849609375
72.25, 4000.0, 3998.14794921875, 0.5639925003051758, 4146.0849609375
72.5, 4000.0, 3999.28076171875, 0.5639938116073608, 4146.0849609375
72.75, 4000.0, 4000.0791015625, 0.5639950633049011, 4146.0849609375
73.0, 4000.0, 4000.207763671875, 0.5639963746070862, 4146.0849609375
73.25, 4000.0, 3999.742431640625, 0.5639976859092712, 4146.0849609375
73.5, 4000.0, 4000.537109375, 0.5639989972114563, 4146.0849609375
73.75, 4000.0, 3999.865478515625, 0.5640003085136414, 4146.0849609375
74.0, 4000.0, 3999.857666015625, 0.5640016198158264, 4146.0849609375
74.25, 4000.0, 4000.353271484375, 0.5640029311180115, 4146.0849609375
74.5, 4000.0, 4000.559814453125, 0.5640041828155518, 4146.0849609375
74.75, 4000.0, 4000.254638671875, 0.5640054941177368, 4146.0849609375
75.0, 3200.0, 3665.84814453125, 0.5640067458152771, 4146.0849609375
75.25, 3200.0, 3228.881591796875, 0.564008891582489, 4146.0849609375
75.5, 3200.0, 3169.04150390625, 0.5640121698379517, 4146.0849609375
75.75, 3200.0, 3178.630615234375, 0.5640157461166382, 4146.0849609375
76.0, 3200.0, 3185.317626953125, 0.5640195608139038, 4146.0849609375
76.25, 3200.0, 3193.226318359375, 0.5640233755111694, 4146.0849609375
76.5, 3200.0, 3194.1748046875, 0.5640273690223694, 4146.0849609375
76.75, 3200.0, 3197.2900390625, 0.5640313625335693, 4146.0849609375
77.0, 3200.0, 3199.863037109375, 0.5640352368354797, 4146.0849609375
77.25, 3200.0, 3198.927734375, 0.5640392899513245, 4146.0849609375
77.5, 3200.0, 3197.78369140625, 0.5640433430671692, 4146.0849609375
77.75, 3200.0, 3201.211181640625, 0.5640473961830139, 4146.0849609375
78.0, 3200.0, 3200.505859375, 0.5640514492988586, 4146.0849609375
78.25, 3200.0, 3202.2890625, 0.5640555024147034, 4146.0849609375
78.5, 3200.0, 3199.438720703125, 0.5640596747398376, 4146.0849609375
78.75, 3200.0, 3199.967529296875, 0.5640637278556824, 4146.0849609375
79.0, 3200.0, 3199.13427734375, 0.5640678405761719, 4146.0849609375
79.25, 3200.0, 3196.657470703125, 0.5640718340873718, 4146.0849609375
79.5, 3200.0, 3199.25, 0.5640758872032166, 4146.0849609375
79.75, 1400.0, 2800.352294921875, 0.564079761505127, 4146.0849609375
80.0, 1400.0, 2016.796875, 0.5640847682952881, 4146.0849609375
80.25, 1400.0, 1783.127197265625, 0.5640910267829895, 4146.0849609375
80.5, 1400.0, 1628.12939453125, 0.5640982389450073, 4146.0849609375
80.75, 1400.0, 1535.79638671875, 0.5641060471534729, 4146.0849609375
81.0, 1400.0, 1474.545166015625, 0.564113974571228, 4146.0849609375
81.25, 1400.0, 1444.867431640625, 0.5641219019889832, 4146.0849609375
81.5, 1400.0, 1426.5419921875, 0.5641298890113831, 4146.0849609375
81.75, 1400.0, 1416.1932373046875, 0.5641379952430725, 4146.0849609375
82.0, 1400.0, 1409.84228515625, 0.564146101474762, 4146.0849609375
82.25, 1400.0, 1406.267578125, 0.564154326915741, 4146.0849609375
82.5, 1400.0, 1404.087158203125, 0.56416255235672, 4146.0849609375
82.75, 1400.0, 1402.0394287109375, 0.5641707181930542, 4146.0849609375
83.0, 1400.0, 1400.3839111328125, 0.564178466796875, 4146.0849609375
83.25, 1400.0, 1399.861083984375, 0.5641865134239197, 4146.0849609375
83.5, 1400.0, 1400.4150390625, 0.5641947984695435, 4146.0849609375
83.75, 1400.0, 1399.6641845703125, 0.5642030239105225, 4146.0849609375
84.0, 1400.0, 1400.5382080078125, 0.5642110705375671, 4146.0849609375
84.25, 1400.0, 1399.73095703125, 0.5642188787460327, 4146.0849609375
84.5, 5600.0, 2542.21533203125, 0.5642270445823669, 4146.0849609375
84.75, 5600.0, 4578.626953125, 0.5642315149307251, 4146.0849609375
85.0, 5600.0, 5189.62109375, 0.5642321705818176, 4146.0849609375
85.25, 5600.0, 5420.673828125, 0.564231276512146, 4146.0849609375
85.5, 5600.0, 5512.599609375, 0.5642296075820923, 4146.0849609375
85.75, 5600.0, 5563.04443359375, 0.564227819442749, 4146.0849609375
86.0, 5600.0, 5581.00537109375, 0.564225971698761, 4146.0849609375
86.25, 5600.0, 5594.92333984375, 0.564224123954773, 4146.0849609375
86.5, 5600.0, 5593.1015625, 0.5642222762107849, 4146.0849609375
86.75, 5600.0, 5594.869140625, 0.5642204880714417, 4146.0849609375
87.0, 5600.0, 5598.79052734375, 0.5642185807228088, 4146.0849609375
87.25, 5600.0, 5599.05517578125, 0.564216673374176, 4146.0849609375
87.5, 5600.0, 5601.54443359375, 0.564214825630188, 4146.0849609375
87.75, 5600.0, 5597.81396484375, 0.5642130374908447, 4146.0849609375
88.0, 5600.0, 5603.14013671875, 0.5642111897468567, 4146.0849609375
88.25, 5600.0, 5598.36865234375, 0.5642093420028687, 4146.0849609375
88.5, 5600.0, 5601.25732421875, 0.5642074346542358, 4146.0849609375
88.75, 5600.0, 5598.767578125, 0.5642055869102478, 4146.0849609375
89.0, 5600.0, 5600.998046875, 0.564203679561615, 4146.0849609375
89.25, 7000.0, 6413.84375, 0.564201831817627, 4146.0849609375
89.5, 7000.0, 7087.30517578125, 0.5641977787017822, 4146.0849609375
89.75, 7000.0, 7064.64306640625, 0.5641908645629883, 4146.0849609375
90.0, 7000.0, 7024.69482421875, 0.5641831755638123, 4146.0849609375
90.25, 7000.0, 7010.67138671875, 0.5641754269599915, 4146.0849609375
90.5, 7000.0, 7001.12109375, 0.5641677975654602, 4146.0849609375
90.75, 7000.0, 7000.490234375, 0.5641601085662842, 4146.0849609375
91.0, 7000.0, 7000.8134765625, 0.5641526579856873, 4146.0849609375
91.25, 7000.0, 6999.91455078125, 0.5641448497772217, 4146.0849609375
91.5, 7000.0, 6999.392578125, 0.5641372203826904, 4146.0849609375
91.75, 7000.0, 7000.39208984375, 0.5641295909881592, 4146.0849609375
92.0, 7000.0, 6999.8232421875, 0.5641218423843384, 4146.0849609375
92.25, 7000.0, 6999.42724609375, 0.5641142725944519, 4146.0849609375
92.5, 7000.0, 7000.34033203125, 0.5641065835952759, 4146.0849609375
92.75, 7000.0, 6999.396484375, 0.5640989542007446, 4146.0849609375
93.0, 7000.0, 7000.31201171875, 0.5640912652015686, 4146.0849609375
93.25, 7000.0, 7000.3349609375, 0.5640835762023926, 4146.0849609375
93.5, 7000.0, 6999.6015625, 0.5640760064125061, 4146.0849609375
93.75, 7000.0, 6999.41455078125, 0.5640683174133301, 4146.0849609375
94.0, 0.0, 3490.2919921875, 0.5640612244606018, 4146.0849609375
94.25, 0.0, 699.4442138671875, 0.5640624761581421, 4146.0849609375
94.5, 0.0, 157.6763458251953, 0.5640713572502136, 4146.0849609375
