Time, Solar house 1.Inverter.P, ESS.Inverter.P, ESS.Lithium Batteries.Li Cells Series 1.SOC, Solar house 2.Inverter.P, ESS.Inverter.Controller.Pref, Solar house 2.Inverter.Controller.Pref
6.0, 2004.5467529296875, 7995.4501953125, 0.49976587295532227, 2004.4263916015625, 8000.0, 2000.0
6.25, 2004.2093505859375, 8000.59228515625, 0.4997556209564209, 2003.8782958984375, 8000.0, 2000.0
6.5, 2003.5416259765625, 8001.86669921875, 0.4997454285621643, 2002.5601806640625, 8000.0, 2000.0
6.75, 2003.131103515625, 7937.30224609375, 0.4997352361679077, 2109.10986328125, 6000.0, 2640.0
7.0, 2002.5079345703125, 6230.17529296875, 0.49972644448280334, 2505.01708984375, 6000.0, 2640.0
7.25, 2003.2080078125, 6076.60595703125, 0.4997185170650482, 2758.704833984375, 6000.0, 2640.0
7.5, 2003.4505615234375, 6015.423828125, 0.4997107982635498, 2717.851318359375, 6000.0, 2640.0
7.75, 2002.6611328125, 6003.02294921875, 0.4997032582759857, 2600.910400390625, 6000.0, 2640.0
8.0, 2002.6744384765625, 6001.19287109375, 0.49969571828842163, 2600.27880859375, 6000.0, 2640.0
8.25, 2001.556396484375, 6000.11962890625, 0.49968814849853516, 2650.144775390625, 6000.0, 2640.0
8.5, 2001.85986328125, 5998.35595703125, 0.4996805787086487, 2651.702392578125, 6000.0, 2640.0
8.75, 2142.806640625, 5998.83837890625, 0.4996729791164398, 2630.75537109375, 6000.0, 2640.0
9.0, 2520.7646484375, 5999.400390625, 0.49966537952423096, 2630.974853515625, 6000.0, 2640.0
9.25, 2763.696533203125, 5997.45751953125, 0.4996578097343445, 2641.225830078125, 6000.0, 2640.0
9.5, 2710.084228515625, 5997.39453125, 0.4996502697467804, 2641.535888671875, 6000.0, 2640.0
9.75, 2597.785400390625, 6000.48193359375, 0.49964267015457153, 2638.47998046875, 6000.0, 2640.0
10.0, 2602.220703125, 6002.25537109375, 0.4996350407600403, 2637.208740234375, 6000.0, 2640.0
10.25, 2652.27880859375, 6000.205078125, 0.4996275007724762, 2639.585205078125, 6000.0, 2640.0
10.5, 2650.08935546875, 6000.427734375, 0.4996199607849121, 2640.424072265625, 6000.0, 2640.0
10.75, 2629.549072265625, 5757.2412109375, 0.4996124505996704, 2431.19775390625, 5000.0, 1930.0
11.0, 2631.73095703125, 5120.9697265625, 0.49960580468177795, 2020.480712890625, 5000.0, 1930.0
11.25, 2641.441650390625, 5024.7138671875, 0.4995994567871094, 1803.0633544921875, 5000.0, 1930.0
11.5, 2642.182861328125, 5006.1865234375, 0.4995931386947632, 1862.608154296875, 5000.0, 1930.0
11.75, 2638.1357421875, 5001.685546875, 0.49958693981170654, 1943.857421875, 5000.0, 1930.0
12.0, 2638.9697265625, 5002.783203125, 0.4995807111263275, 1946.1922607421875, 5000.0, 1930.0
12.25, 2639.623046875, 4998.8369140625, 0.4995744824409485, 1925.9727783203125, 5000.0, 1930.0
12.5, 2640.681396484375, 4998.8955078125, 0.49956825375556946, 1923.507080078125, 5000.0, 1930.0
12.75, 2640.736083984375, 4999.69189453125, 0.49956202507019043, 1928.7152099609375, 5000.0, 1930.0
13.0, 2640.06982421875, 4999.232421875, 0.499555766582489, 1930.0792236328125, 5000.0, 1930.0
13.25, 2641.206787109375, 4999.310546875, 0.4995495080947876, 1929.9383544921875, 5000.0, 1930.0
13.5, 2641.3388671875, 5000.43896484375, 0.49954327940940857, 1930.669189453125, 5000.0, 1930.0
13.75, 2359.230712890625, 4998.8662109375, 0.49953702092170715, 1929.6546630859375, 5000.0, 1930.0
14.0, 1980.294189453125, 4997.46240234375, 0.4995308220386505, 1930.12744140625, 5000.0, 1930.0
14.25, 1799.5660400390625, 4999.6650390625, 0.4995245635509491, 1931.0936279296875, 5000.0, 1930.0
14.5, 1874.925048828125, 4999.70361328125, 0.49951839447021484, 1931.3480224609375, 5000.0, 1930.0
14.75, 1947.031982421875, 3420.76611328125, 0.4995124936103821, 2115.110595703125, 2000.0, 2400.0
15.0, 1942.896728515625, 2269.15087890625, 0.499508798122406, 2376.538330078125, 2000.0, 2400.0
15.25, 1926.3863525390625, 2054.9658203125, 0.49950581789016724, 2481.9189453125, 2000.0, 2400.0
15.5, 1924.050537109375, 2009.1104736328125, 0.499502956867218, 2424.140869140625, 2000.0, 2400.0
15.75, 1928.2747802734375, 1998.2254638671875, 0.4995001256465912, 2366.090576171875, 2000.0, 2400.0
16.0, 1930.33154296875, 1998.3387451171875, 0.49949732422828674, 2387.756591796875, 2000.0, 2400.0
16.25, 1930.177001953125, 1998.7291259765625, 0.4994945228099823, 2410.29541015625, 2000.0, 2400.0
16.5, 1929.9735107421875, 1998.8514404296875, 0.49949172139167786, 2408.56787109375, 2000.0, 2400.0
16.75, 1931.038818359375, 2001.3408203125, 0.499488890171051, 2400.661865234375, 2000.0, 2400.0
17.0, 1931.568359375, 2001.767578125, 0.4994860887527466, 2400.173583984375, 2000.0, 2400.0
17.25, 1929.9664306640625, 1997.512939453125, 0.49948325753211975, 2401.10498046875, 2000.0, 2400.0
17.5, 1930.6343994140625, 1999.338134765625, 0.4994804561138153, 2402.271484375, 2000.0, 2400.0
17.75, 1931.8690185546875, 2003.4622802734375, 0.4994776248931885, 2402.5419921875, 2000.0, 2400.0
18.0, 1931.9111328125, 2003.7108154296875, 0.49947479367256165, 2402.058349609375, 2000.0, 2400.0
18.25, 1930.495849609375, 1999.4765625, 0.4994719624519348, 2400.694091796875, 2000.0, 2400.0
18.5, 1930.547607421875, 1999.345947265625, 0.49946919083595276, 2400.813232421875, 2000.0, 2400.0
18.75, 2154.2333984375, 4359.43115234375, 0.4994654655456543, 2574.636962890625, 8000.0, 2720.0
19.0, 2397.6630859375, 8104.37353515625, 0.4994574189186096, 2721.709228515625, 8000.0, 2720.0
19.25, 2481.19775390625, 7980.8388671875, 0.499446839094162, 2791.712646484375, 8000.0, 2720.0
19.5, 2414.01220703125, 7921.4443359375, 0.4994368851184845, 2725.635986328125, 8000.0, 2720.0
19.75, 2365.80615234375, 8091.3544921875, 0.49942663311958313, 2685.562744140625, 8000.0, 2720.0
20.0, 2391.483642578125, 7947.74365234375, 0.4994165003299713, 2707.901123046875, 8000.0, 2720.0
20.25, 2412.078857421875, 8024.31103515625, 0.4994063079357147, 2731.161865234375, 8000.0, 2720.0
20.5, 2408.179443359375, 7988.0673828125, 0.4993961751461029, 2723.74560546875, 8000.0, 2720.0
20.75, 2398.7431640625, 8004.43505859375, 0.49938592314720154, 2712.19677734375, 8000.0, 2720.0
21.0, 2399.506103515625, 7997.484375, 0.4993758499622345, 2716.185791015625, 8000.0, 2720.0
21.25, 2402.37646484375, 7996.9677734375, 0.49936577677726746, 2721.391845703125, 8000.0, 2720.0
21.5, 2403.1005859375, 7998.53271484375, 0.499355673789978, 2721.340576171875, 8000.0, 2720.0
21.75, 2402.808349609375, 8001.9296875, 0.4993455410003662, 2720.041015625, 8000.0, 2720.0
22.0, 2402.187744140625, 8002.7255859375, 0.4993354082107544, 2720.2353515625, 8000.0, 2720.0
22.25, 2401.016357421875, 7998.2890625, 0.49932509660720825, 2720.700927734375, 8000.0, 2720.0
22.5, 2401.36279296875, 7998.2080078125, 0.49931496381759644, 2720.84814453125, 8000.0, 2720.0
22.75, 2401.800048828125, 7547.72216796875, 0.4993049204349518, 2965.189697265625, 7000.0, 3200.0
23.0, 2402.03564453125, 7041.03759765625, 0.4992956817150116, 3169.185546875, 7000.0, 3200.0
23.25, 2400.722900390625, 7024.20703125, 0.4992864727973938, 3331.364501953125, 7000.0, 3200.0
23.5, 2400.74169921875, 6997.28564453125, 0.4992774724960327, 3255.6796875, 7000.0, 3200.0
23.75, 2596.56884765625, 7001.41455078125, 0.49926841259002686, 3124.810546875, 7000.0, 3200.0
24.0, 2740.93408203125, 6998.84765625, 0.49925941228866577, 3131.672119140625, 7000.0, 3200.0
24.25, 2787.677490234375, 6999.9716796875, 0.4992504417896271, 3206.588134765625, 7000.0, 3200.0
24.5, 2716.94091796875, 7000.63671875, 0.49924153089523315, 3233.501953125, 7000.0, 3200.0
24.75, 2685.097412109375, 6998.0810546875, 0.49923253059387207, 3189.8193359375, 7000.0, 3200.0
25.0, 2711.073974609375, 6999.55615234375, 0.49922361969947815, 3169.319580078125, 7000.0, 3200.0
25.25, 2730.623046875, 6998.8955078125, 0.49921461939811707, 3194.60107421875, 7000.0, 3200.0
25.5, 2721.77197265625, 6998.7919921875, 0.49920564889907837, 3218.132568359375, 7000.0, 3200.0
25.75, 2712.13427734375, 6997.9775390625, 0.4991965889930725, 3201.514892578125, 7000.0, 3200.0
26.0, 2717.610595703125, 6997.595703125, 0.4991875886917114, 3186.34912109375, 7000.0, 3200.0
26.25, 2721.0458984375, 7000.51611328125, 0.49917858839035034, 3193.453125, 7000.0, 3200.0
26.5, 2719.215576171875, 7001.81103515625, 0.49916961789131165, 3206.96142578125, 7000.0, 3200.0
26.75, 2718.820068359375, 5521.06103515625, 0.49916136264801025, 2887.75830078125, 5000.0, 2690.0
27.0, 2720.684814453125, 5122.87109375, 0.4991546869277954, 2626.564453125, 5000.0, 2690.0
27.25, 2720.687255859375, 5021.39501953125, 0.49914827942848206, 2582.447509765625, 5000.0, 2690.0
27.5, 2721.1337890625, 5004.49755859375, 0.49914199113845825, 2701.982666015625, 5000.0, 2690.0
27.75, 2721.206787109375, 5000.7998046875, 0.4991357922554016, 2738.691650390625, 5000.0, 2690.0
28.0, 2721.786376953125, 5001.3154296875, 0.49912959337234497, 2687.781005859375, 5000.0, 2690.0
28.25, 2719.8916015625, 4999.21630859375, 0.49912336468696594, 2666.871337890625, 5000.0, 2690.0
28.5, 2720.332275390625, 4998.8212890625, 0.4991171658039093, 2687.884521484375, 5000.0, 2690.0
28.75, 3002.813232421875, 4998.95556640625, 0.49911096692085266, 2698.4873046875, 5000.0, 2690.0
29.0, 3215.937744140625, 5000.07470703125, 0.49910473823547363, 2690.464111328125, 5000.0, 2690.0
29.25, 3330.945068359375, 5000.4365234375, 0.4990984797477722, 2685.0107421875, 5000.0, 2690.0
29.5, 3229.29296875, 5000.1591796875, 0.4990922510623932, 2688.977294921875, 5000.0, 2690.0
29.75, 3109.42041015625, 5001.12060546875, 0.4990859925746918, 2692.3935546875, 5000.0, 2690.0
30.0, 3143.5322265625, 5003.12744140625, 0.49907973408699036, 2690.302490234375, 5000.0, 2690.0
30.25, 3219.9912109375, 4999.05126953125, 0.49907350540161133, 2689.575927734375, 5000.0, 2690.0
30.5, 3228.181884765625, 5000.89892578125, 0.4990672767162323, 2691.305908203125, 5000.0, 2690.0
30.75, 3182.81396484375, 6319.4521484375, 0.49906012415885925, 2914.88037109375, 6600.0, 3040.0
31.0, 3172.4453125, 6505.025390625, 0.49905163049697876, 3079.492919921875, 6600.0, 3040.0
31.25, 3202.16015625, 6600.08154296875, 0.49904319643974304, 3123.203369140625, 6600.0, 3040.0
31.5, 3216.82470703125, 6595.3408203125, 0.49903473258018494, 3040.50341796875, 6600.0, 3040.0
31.75, 3197.880615234375, 6601.02783203125, 0.4990260899066925, 2985.656982421875, 6600.0, 3040.0
32.0, 3184.762451171875, 6601.80029296875, 0.4990174472332001, 3010.474609375, 6600.0, 3040.0
32.25, 3197.66796875, 6599.69775390625, 0.49900874495506287, 3051.71826171875, 6600.0, 3040.0
32.5, 3208.806640625, 6602.23095703125, 0.49900004267692566, 3057.369384765625, 6600.0, 3040.0
32.75, 3201.818359375, 6602.73974609375, 0.498991459608078, 3042.551025390625, 6600.0, 3040.0
33.0, 3193.0703125, 6599.78271484375, 0.4989827871322632, 3031.6982421875, 6600.0, 3040.0
33.25, 3197.680908203125, 6599.21630859375, 0.498974084854126, 3035.23779296875, 6600.0, 3040.0
33.5, 3186.019287109375, 6600.92529296875, 0.49896541237831116, 3040.089111328125, 6600.0, 3040.0
33.75, 2819.375732421875, 6601.15576171875, 0.4989568293094635, 3041.685791015625, 6600.0, 3040.0
34.0, 2588.516845703125, 6599.5771484375, 0.49894818663597107, 3039.921630859375, 6600.0, 3040.0
34.25, 2606.750244140625, 6599.13037109375, 0.4989394545555115, 3039.4140625, 6600.0, 3040.0
34.5, 2723.630615234375, 6615.54150390625, 0.49893078207969666, 3033.13232421875, 7500.0, 2900.0
34.75, 2727.659912109375, 7364.3095703125, 0.4989216923713684, 2946.135009765625, 7500.0, 2900.0
35.0, 2677.751220703125, 7470.67919921875, 0.4989120364189148, 2880.5361328125, 7500.0, 2900.0
35.25, 2671.48486328125, 7490.3125, 0.49890241026878357, 2868.541259765625, 7500.0, 2900.0
