Time, Ptotal
195,11621.69043
195.25,11621.69043
195.5,11621.69043
195.75,11621.69043
196,11621.69043
196.25,11621.69043
196.5,11621.69043
196.75,11638.61133
197,11653.65527
197.25,11672.54199
197.5,11701.15137
197.75,11726.74707
198,11726.74707
198.25,11761.30371
198.5,11804.71777
198.75,11825.76855
199,11872.65332
199.25,11898.92969
199.5,11898.92969
199.75,11913.59277
200,11961.69824
200.25,11967.78418
200.5,11967.78418
200.75,11979.80176
201,11979.80176
201.25,11979.80176
201.5,11979.80176
201.75,11997.90625
202,11997.90625
202.25,11997.90625
202.5,11997.90625
202.75,12001.84473
203,12022.18848
203.25,12022.18848
203.5,12022.18848
203.75,12022.18848
204,12022.18848
204.25,12022.18848
204.5,12022.18848
204.75,12022.18848
205,12022.18848
205.25,12022.18848
205.5,12022.18848
205.75,12022.18848
206,12022.18848
206.25,12022.18848
206.5,12022.18848
206.75,12022.18848
207,12022.18848
207.25,12022.18848
207.5,12022.18848
207.75,12022.18848
208,12022.18848
208.25,12022.18848
208.5,12022.18848
208.75,12022.18848
209,12022.18848
209.25,12022.18848
209.5,12022.18848
209.75,12022.18848
210,12022.18848
210.25,12022.18848
210.5,12022.18848
210.75,12022.18848
211,12022.18848
211.25,12022.18848
211.5,12022.18848
211.75,12022.18848
212,12022.18848
212.25,12022.18848
212.5,12022.18848
212.75,12022.18848
213,12022.18848
213.25,12022.18848
213.5,12022.18848
213.75,12022.18848
214,12022.18848
214.25,12022.18848
214.5,12022.18848
214.75,12022.18848
215,12022.18848
215.25,12022.18848
215.5,12022.18848
215.75,12022.18848
216,12022.18848
216.25,12022.18848
216.5,12022.18848
216.75,12022.18848
217,12053.94531
217.25,12059.05469
217.5,12074.14355
217.75,12103.64355
218,12121.56641
218.25,12139.31055
218.5,12157.40723
218.75,12205.35742
219,12246.52637
219.25,12253.9541
219.5,12275.45117
219.75,12275.45117
220,12354.60645
220.25,12359.85059
220.5,12365.89355
220.75,12365.89355
221,12377.83203
221.25,12377.83203
221.5,12377.83203
221.75,12377.83203
222,12395.81348
222.25,12395.81348
222.5,12395.81348
222.75,12395.81348
223,12413.88281
223.25,12413.88281
223.5,12413.88281
223.75,12413.88281
224,12419.92578
224.25,12419.92578
224.5,12419.92578
224.75,12419.92578
225,12419.92578
225.25,12419.92578
225.5,12419.92578
225.75,12419.92578
226,12419.92578
226.25,12419.92578
226.5,12419.92578
226.75,12419.92578
227,12419.92578
227.25,12419.92578
227.5,12419.92578
227.75,12419.92578
228,12419.92578
228.25,12419.92578
228.5,12419.92578
