Time, Ptotal,Regd,Time regD
3758.25,10627.17969,,
3758.5,10647.39844,,
3758.75,10695.18457,,
3759,10723.47754,,
3759.25,10748.58984,,
3759.5,10781.54297,,
3759.75,10813.59668,,
3760,10832.5,,
3760.25,10900.35254,,
3760.5,10914.69531,,
3760.75,10941.17383,,
3761,10941.17383,,
3761.25,11013.06445,,
3761.5,11013.06445,,
3761.75,11016.92285,,
3762,11020.67188,,
3762.25,11039.69434,,
3762.5,11039.69434,,
3762.75,11039.69434,,
3763,11041.06738,,
3763.25,11062.62793,,
3763.5,11062.62793,,
3763.75,11062.62793,,
3764,11062.62793,,
3764.25,11085.72266,,
3764.5,11085.72266,,
3764.75,11085.72266,,
3765,11085.72266,,
3765.25,11085.72266,,
3765.5,11085.72266,,
3765.75,11085.72266,,
3766,11085.72266,,
3766.25,11085.72266,,
3766.5,11085.72266,,
3766.75,11085.72266,,
3767,11085.72266,,
3767.25,11085.72266,,
3767.5,11085.72266,,
3767.75,11085.72266,,
3768,11085.72266,,
3768.25,11085.72266,,
3768.5,11085.72266,,
3768.75,11085.72266,,
3769,11085.72266,,
3769.25,11085.72266,,
3769.5,11085.72266,,
3769.75,11085.72266,,
3770,11085.72266,,
3770.25,11085.72266,,
3770.5,11085.72266,,
3770.75,11085.72266,,
3771,11085.72266,,
3771.25,11085.72266,,
3771.5,11085.72266,,
3771.75,11085.72266,,
3772,11085.72266,,
3772.25,11085.72266,,
3772.5,11085.72266,,
3772.75,11085.72266,,
3773,11085.72266,,
3773.25,11085.72266,,
3773.5,11085.72266,,
3773.75,11085.72266,,
3774,11085.72266,,
3774.25,11085.72266,,
3774.5,11085.72266,,
3774.75,11085.72266,,
3775,11085.72266,,
3775.25,11085.72266,,
3775.5,11085.72266,,
3775.75,11085.72266,,
3776,11085.72266,,
3776.25,11085.72266,,
3776.5,11085.72266,,
3776.75,11085.72266,,
3777,11085.72266,,
3777.25,11085.72266,,
3777.5,11085.72266,,
3777.75,11085.72266,,
3778,11085.72266,,
3778.25,11109.0625,,
3778.5,11156.78613,,
3778.75,11192.40527,,
3779,11262.62988,,
3779.25,11331.00098,,
3779.5,11344.53809,,
3779.75,11417.65137,,
3780,11500.58008,,
3780.25,11550.46875,,
3780.5,11656.66406,,
3780.75,11711.52148,,
3781,11720.5957,,
3781.25,11770.02246,,
3781.5,11849.03516,,
3781.75,11862.83691,,
3782,11862.83691,,
3782.25,11876.21484,,
3782.5,11889.64551,,
3782.75,11889.64551,,
3783,11889.64551,,
3783.25,11930.25684,,
3783.5,11930.25684,,
3783.75,11930.25684,,
3784,11930.25684,,
3784.25,11984.52832,,
3784.5,11985.14941,,
3784.75,11985.14941,,
3785,11985.14941,,
3785.25,11985.14941,,
3785.5,11985.14941,,
3785.75,11985.14941,,
3786,11985.14941,,
3786.25,11985.14941,,
3786.5,11985.14941,,
3786.75,11985.14941,,
3787,11985.14941,,
3787.25,11985.14941,,
3787.5,11985.14941,,
3787.75,11985.14941,,
3788,11985.14941,,
3788.25,11985.14941,,
3788.5,11985.14941,,
3788.75,11985.14941,,
3789,11985.14941,,
3789.25,11985.14941,,
3789.5,11985.14941,,
3789.75,11985.14941,,
3790,11985.14941,,
3790.25,11985.14941,,
3790.5,11985.14941,,
3790.75,11985.14941,,
3791,11985.14941,,
3791.25,11985.14941,,
3791.5,11985.14941,,
3791.75,11985.14941,,
3792,11985.14941,,
3792.25,11985.14941,,
3792.5,11985.14941,,
3792.75,11985.14941,,
3793,11985.14941,,
3793.25,11985.14941,,
3793.5,11985.14941,,
3793.75,11985.14941,,
3794,11985.14941,,
3794.25,11985.14941,,
3794.5,11985.14941,,
3794.75,11985.14941,,
3795,11985.14941,,
3795.25,11985.14941,,
3795.5,11985.14941,,
3795.75,11985.14941,,
3796,11985.14941,,
3796.25,11985.14941,,
3796.5,11985.14941,,
3796.75,11985.14941,,
3797,11985.14941,,
3797.25,11985.14941,,
3797.5,11985.14941,,
3797.75,11985.14941,,
3798,11985.14941,,
3798.25,11985.14941,,
3798.5,12224.55469,,
3798.75,12261.85352,,
3799,12486.12305,,
3799.25,12677.58789,,
3799.5,12897.04199,,
3799.75,13012.62695,,
3800,13201.67773,,
3800.25,13576.43652,,
3800.5,13897.66016,,
3800.75,14154.18457,,
3801,14308.20313,,
3801.25,14334.57227,,
3801.5,14841.99805,,
3801.75,14876.87988,,
3802,14931.61816,,
3802.25,14931.61816,,
3802.5,15020.07715,,
3802.75,15049.16895,,
3803,15049.16895,,
3803.25,15049.16895,,
3803.5,15203.57129,,
3803.75,15203.57129,,
3804,15203.57129,,
3804.25,15203.57129,,
3804.5,15363.8623,,
3804.75,15363.8623,,
3805,15363.8623,,
3805.25,15363.8623,,
3805.5,15418.60156,,
3805.75,15418.60156,,
3806,15418.60156,,
3806.25,15418.60156,,
3806.5,15418.60156,,
3806.75,15418.60156,,
3807,15418.60156,,
3807.25,15418.60156,,
3807.5,15418.60156,,
3807.75,15418.60156,,
3808,15418.60156,,
3808.25,15418.60156,,
3808.5,15418.60156,,
3808.75,15418.60156,,
3809,15418.60156,,
3809.25,15418.60156,,
3809.5,15418.60156,,
3809.75,15418.60156,,
3810,15418.60156,,
3810.25,15418.60156,,
3810.5,15418.60156,,
3810.75,15418.60156,,
3811,15418.60156,,
3811.25,15418.60156,,
3811.5,15418.60156,,
3811.75,15418.60156,,
3812,15418.60156,,
3812.25,15418.60156,,
3812.5,15418.60156,,
3812.75,15418.60156,,
3813,15418.60156,,
3813.25,15418.60156,,
3813.5,15418.60156,,
3813.75,15418.60156,,
3814,15418.60156,,
3814.25,15418.60156,,
3814.5,15418.60156,,
3814.75,15418.60156,,
3815,15418.60156,,
3815.25,15418.60156,,
3815.5,15418.60156,,
3815.75,15418.60156,,
3816,15418.60156,,
3816.25,15418.60156,,
